year	count	main_term	sub_term
2016	7	Inflammatory Bowel Disease	NMR
2013	7	Inflammatory Bowel Disease	NMR
2017	7	Inflammatory Bowel Disease	LC-MS
2009	7	Adiposity	GC-MS
2014	7	Kidney disease	GC-MS
2011	7	Kidney disease	GC-MS
2016	7	Alzeimer's disease	NMR
2016	7	Alzeimer's disease	LC-MS
2019	7	Alzeimer's disease	GC-MS
2016	7	Alzeimer's disease	GC-MS
2014	7	Mental wellness	NMR
2014	7	Mental wellness	GC-MS
2022	8	COVID-19	GC-MS
2022	8	Inflammatory Bowel Disease	NMR
2020	8	Inflammatory Bowel Disease	NMR
2018	8	Inflammatory Bowel Disease	LC-MS
2019	8	Inflammatory Bowel Disease	GC-MS
2012	8	Type 2 diabetes	NMR
2009	8	Adiposity	LC-MS
2013	8	Alzeimer's disease	LC-MS
2015	8	Alzeimer's disease	GC-MS
2012	8	Mental wellness	NMR
2023	9	Cardiovascular	GC-MS
2010	9	Cardiovascular	GC-MS
2009	9	Type 2 diabetes	NMR
2013	9	Type 2 diabetes	LC-MS
2015	9	Type 2 diabetes	GC-MS
2014	9	Type 2 diabetes	GC-MS
2010	9	Kidney disease	NMR
2009	9	Kidney disease	NMR
2020	9	Kidney disease	GC-MS
2017	9	Kidney disease	GC-MS
2013	9	Mental wellness	NMR
2013	9	Mental wellness	GC-MS
2006	10	Cancer	NMR
2020	10	Inflammatory Bowel Disease	LC-MS
2014	10	Type 2 diabetes	NMR
2022	10	Type 2 diabetes	GC-MS
2010	10	Adiposity	LC-MS
2012	10	Adiposity	GC-MS
2010	10	Kidney disease	LC-MS
2021	10	Kidney disease	GC-MS
2012	10	Kidney disease	GC-MS
2020	10	Alzeimer's disease	GC-MS
2014	10	Alzeimer's disease	GC-MS
2023	10	Mental wellness	NMR
2023	11	COVID-19	NMR
2011	11	Cardiovascular	GC-MS
2008	11	Cancer	LC-MS
2013	11	Type 2 diabetes	NMR
2016	11	Type 2 diabetes	GC-MS
2023	11	Adiposity	GC-MS
2010	12	Cardiovascular	NMR
2008	12	Cardiovascular	NMR
2013	12	Cardiovascular	GC-MS
2021	12	Type 2 diabetes	GC-MS
2011	12	Adiposity	LC-MS
2021	12	Alzeimer's disease	NMR
2015	12	Mental wellness	LC-MS
2009	13	Cardiovascular	LC-MS
2023	13	Inflammatory Bowel Disease	LC-MS
2023	13	Type 2 diabetes	NMR
2018	13	Type 2 diabetes	GC-MS
2009	13	Adiposity	NMR
2012	13	Kidney disease	NMR
2015	13	Kidney disease	GC-MS
2015	13	Alzeimer's disease	LC-MS
2021	13	Alzeimer's disease	GC-MS
2016	13	Mental wellness	GC-MS
2014	14	Type 2 diabetes	LC-MS
2013	14	Adiposity	GC-MS
2023	14	Kidney disease	NMR
2013	14	Kidney disease	NMR
2011	14	Kidney disease	NMR
2016	14	Kidney disease	GC-MS
2017	14	Alzeimer's disease	NMR
2015	14	Mental wellness	GC-MS
2021	15	COVID-19	NMR
2009	15	Cancer	GC-MS
2011	15	Adiposity	GC-MS
2015	15	Kidney disease	NMR
2013	15	Kidney disease	LC-MS
2011	15	Kidney disease	LC-MS
2022	15	Alzeimer's disease	NMR
2019	15	Alzeimer's disease	NMR
2017	15	Alzeimer's disease	LC-MS
2019	15	Mental wellness	GC-MS
2009	16	Cardiovascular	NMR
2007	16	Cancer	NMR
2015	16	Type 2 diabetes	NMR
2017	16	Type 2 diabetes	GC-MS
2011	16	Adiposity	NMR
2012	16	Adiposity	LC-MS
2014	16	Kidney disease	LC-MS
2018	16	Alzeimer's disease	NMR
2018	16	Alzeimer's disease	LC-MS
2014	16	Alzeimer's disease	LC-MS
2018	16	Mental wellness	NMR
2015	16	Mental wellness	NMR
2023	17	COVID-19	LC-MS
2010	17	Cardiovascular	LC-MS
2021	17	Inflammatory Bowel Disease	LC-MS
2019	17	Inflammatory Bowel Disease	LC-MS
2020	17	Type 2 diabetes	GC-MS
2013	17	Adiposity	NMR
2014	17	Kidney disease	NMR
2023	17	Kidney disease	LC-MS
2018	17	Kidney disease	GC-MS
2017	17	Mental wellness	LC-MS
2014	18	Cardiovascular	GC-MS
2017	18	Kidney disease	NMR
2012	18	Kidney disease	LC-MS
2022	18	Kidney disease	GC-MS
2019	18	Mental wellness	NMR
2023	18	Mental wellness	LC-MS
2016	18	Mental wellness	LC-MS
2022	18	Mental wellness	GC-MS
2021	18	Mental wellness	GC-MS
2017	18	Mental wellness	GC-MS
2016	19	Type 2 diabetes	NMR
2019	19	Type 2 diabetes	GC-MS
2020	19	Alzeimer's disease	NMR
2010	20	Cancer	GC-MS
2017	20	Type 2 diabetes	LC-MS
2018	20	Mental wellness	GC-MS
2022	21	COVID-19	NMR
2011	21	Cardiovascular	NMR
2012	21	Cardiovascular	GC-MS
2008	21	Cancer	NMR
2018	21	Type 2 diabetes	NMR
2023	21	Type 2 diabetes	LC-MS
2017	21	Mental wellness	NMR
2016	21	Mental wellness	NMR
2020	21	Mental wellness	GC-MS
2018	22	Cardiovascular	GC-MS
2015	22	Cardiovascular	GC-MS
2015	22	Adiposity	GC-MS
2009	23	Cancer	LC-MS
2015	23	Type 2 diabetes	LC-MS
2019	23	Kidney disease	GC-MS
2021	24	COVID-19	LC-MS
2022	24	Alzeimer's disease	LC-MS
2020	25	Type 2 diabetes	NMR
2016	25	Type 2 diabetes	LC-MS
2012	25	Adiposity	NMR
2013	25	Adiposity	LC-MS
2016	25	Kidney disease	NMR
2015	25	Kidney disease	LC-MS
2014	26	Adiposity	GC-MS
2020	26	Alzeimer's disease	LC-MS
2011	27	Cardiovascular	LC-MS
2023	27	Cancer	GC-MS
2017	27	Type 2 diabetes	NMR
2022	28	Inflammatory Bowel Disease	LC-MS
2020	28	Adiposity	GC-MS
2018	28	Kidney disease	NMR
2012	29	Cardiovascular	NMR
2019	29	Type 2 diabetes	NMR
2023	29	Adiposity	NMR
2014	29	Adiposity	NMR
2020	29	Mental wellness	NMR
2021	30	Adiposity	GC-MS
2012	31	Cardiovascular	LC-MS
2021	31	Cardiovascular	GC-MS
2017	31	Cardiovascular	GC-MS
2021	31	Type 2 diabetes	NMR
2017	31	Adiposity	GC-MS
2021	31	Kidney disease	NMR
2019	31	Alzeimer's disease	LC-MS
2018	31	Mental wellness	LC-MS
2022	32	Cardiovascular	GC-MS
2014	32	Adiposity	LC-MS
2020	34	Cardiovascular	GC-MS
2022	34	Kidney disease	NMR
2017	34	Kidney disease	LC-MS
2019	34	Mental wellness	LC-MS
2010	35	Cancer	LC-MS
2018	35	Type 2 diabetes	LC-MS
2016	35	Adiposity	GC-MS
2022	35	Mental wellness	NMR
2009	36	Cancer	NMR
2022	36	Type 2 diabetes	NMR
2018	36	Adiposity	GC-MS
2019	36	Kidney disease	NMR
2016	36	Kidney disease	LC-MS
2021	36	Alzeimer's disease	LC-MS
2012	37	Cancer	GC-MS
2022	37	Adiposity	GC-MS
2020	39	Kidney disease	NMR
2011	40	Cancer	GC-MS
2015	40	Adiposity	NMR
2019	40	Adiposity	GC-MS
2018	40	Kidney disease	LC-MS
2019	41	Cardiovascular	GC-MS
2016	41	Cardiovascular	GC-MS
2021	41	Mental wellness	NMR
2022	42	COVID-19	LC-MS
2015	42	Cardiovascular	NMR
2013	42	Cardiovascular	NMR
2013	42	Cancer	GC-MS
2019	43	Type 2 diabetes	LC-MS
2023	44	Cardiovascular	NMR
2015	44	Adiposity	LC-MS
2022	45	Kidney disease	LC-MS
2020	46	Mental wellness	LC-MS
2020	48	Type 2 diabetes	LC-MS
2013	49	Cardiovascular	LC-MS
2023	49	Adiposity	LC-MS
2021	50	Type 2 diabetes	LC-MS
2016	50	Adiposity	LC-MS
2014	51	Cardiovascular	LC-MS
2019	51	Kidney disease	LC-MS
2014	53	Cardiovascular	NMR
2023	53	Cardiovascular	LC-MS
2014	54	Cancer	GC-MS
2016	54	Adiposity	NMR
2022	55	Type 2 diabetes	LC-MS
2020	55	Kidney disease	LC-MS
2011	60	Cancer	LC-MS
2023	63	Cancer	NMR
2015	64	Cancer	GC-MS
2021	64	Kidney disease	LC-MS
2012	65	Cancer	LC-MS
2022	65	Mental wellness	LC-MS
2010	66	Cancer	NMR
2017	66	Adiposity	NMR
2017	68	Adiposity	LC-MS
2015	72	Cardiovascular	LC-MS
2018	75	Adiposity	NMR
2016	77	Cardiovascular	NMR
2021	77	Cancer	GC-MS
2021	77	Mental wellness	LC-MS
2022	79	Cancer	GC-MS
2013	81	Cancer	LC-MS
2012	82	Cancer	NMR
2020	83	Adiposity	NMR
2011	85	Cancer	NMR
2017	85	Cancer	GC-MS
2017	86	Cardiovascular	LC-MS
2018	86	Cancer	GC-MS
2017	88	Cardiovascular	NMR
2019	92	Adiposity	LC-MS
2018	92	Adiposity	LC-MS
2016	93	Cancer	GC-MS
2018	95	Cardiovascular	NMR
2016	95	Cardiovascular	LC-MS
2013	95	Cancer	NMR
2020	95	Adiposity	LC-MS
2022	96	Cardiovascular	NMR
2019	98	Adiposity	NMR
2023	100	Cancer	LC-MS
2022	100	Adiposity	NMR
2020	102	Cancer	GC-MS
2019	103	Cancer	GC-MS
2014	106	Cancer	NMR
2019	109	Cardiovascular	NMR
2015	109	Cancer	NMR
2021	116	Cardiovascular	NMR
2021	116	Adiposity	NMR
2018	117	Cardiovascular	LC-MS
2020	118	Cardiovascular	NMR
2014	126	Cancer	LC-MS
2021	128	Adiposity	LC-MS
2022	138	Adiposity	LC-MS
2015	139	Cancer	LC-MS
2016	144	Cancer	LC-MS
2019	147	Cardiovascular	LC-MS
2016	147	Cancer	NMR
2017	158	Cancer	NMR
2020	159	Cardiovascular	LC-MS
2020	164	Cancer	NMR
2018	170	Cancer	NMR
2022	171	Cancer	NMR
2021	173	Cardiovascular	LC-MS
2017	188	Cancer	LC-MS
2022	192	Cardiovascular	LC-MS
2021	198	Cancer	NMR
2019	207	Cancer	NMR
2018	218	Cancer	LC-MS
2020	275	Cancer	LC-MS
2019	296	Cancer	LC-MS
2022	315	Cancer	LC-MS
2021	318	Cancer	LC-MS
